"title";
"Форрест Гамп";
"Иван Васильевич меняет профессию";
"Три билборда на границе Эббинга, Миссури";
"Зеленая миля";
"Пираты Карибского моря: Проклятие Чёрной жемчужины";
"Звёздные войны: Эпизод 5 – Империя наносит ответный удар";
"Побег из Шоушенка";
"Эта замечательная жизнь";
"Укрощение строптивого";
"Темный рыцарь: Возрождение легенды";
"Король Лев";
"Бойцовский клуб";
"Жизнь прекрасна";
"Достучаться до небес";
"1+1";
"Начало";
"Леон";
"Крестный отец";
"Криминальное чтиво";
"Операция «Ы» и другие приключения Шурика";
"Игры разума";
"Престиж";
"Интерстеллар";
"Властелин колец: Возвращение Короля";
"Гладиатор";
"Назад в будущее";
"Карты, деньги, два ствола";
"Матрица";
"Бриллиантовая рука";
"Отступники";
"Поймай меня, если сможешь";
"Пианист";
"Властелин колец: Братство кольца";
"В бой идут одни «старики»";
"Тайна Коко";
"ВАЛЛ·И";
"Властелин колец: Две крепости";
"Джентльмены удачи";
"Американская история X";
"Остров проклятых";
"Темный рыцарь";
"Титаник";
"Пролетая над гнездом кукушки";
"12 разгневанных мужчин";
"Запах женщины";
"В джазе только девушки";
"Пробуждение";
"Клаус";
"Хатико: Самый верный друг";
"Унесённые призраками";
"Огни большого города";
"...А зори здесь тихие";
"Кавказская пленница, или Новые приключения Шурика";
"Хороший, плохой, злой";
"Хористы";
"Список Шиндлера";
"Большой куш";
"Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей";
"Семь";
"Молчание ягнят";
"Шоу Трумана";
"Терминатор 2: Судный день";
"Как приручить дракона";
"Джанго освобожденный";
"Крестный отец 2";
"Собачье сердце";
"Нокдаун";
"Игра";
"Храброе сердце";
"Москва слезам не верит";
"Шерлок Холмс и доктор Ватсон: Знакомство";
"Гран Торино";
"Одержимость";
"Земляне";
"Человек дождя";
"Прислуга";
"Изгой";
"Летят журавли";
"Шестое чувство";
"Зверополис";
"Офицеры";
"Белый Бим Чёрное ухо";
"Спасти рядового Райана";
"Эффект бабочки";
"В погоне за счастьем";
"Малыш";
"Судьба человека";
"Назад в будущее 2";
"Красавица и чудовище";
"Дневник памяти";
"Служебный роман";
"Джентльмены";
"Однажды в Америке";
"Унесённые ветром";
"Балто";
"Счастливое число Слевина";
"Жизнь других";
"Адвокат дьявола";
"Амадей";
"Зеленая книга";
"…А в душе я танцую";
"Ходячий замок";
"Шерлок Холмс и доктор Ватсон: Смертельная схватка";
"Римские каникулы";
"Брат";
"Гонка";
"Баллада о солдате";
"Малышка на миллион";
"Девчата";
"Хоббит: Нежданное путешествие";
"Шерлок Холмс и доктор Ватсон: Кровавая надпись";
"Свидетель обвинения";
"Мальчик в полосатой пижаме";
"Пятый элемент";
"Один дома";
"Общество мертвых поэтов";
"День сурка";
"Одиннадцать друзей Оушена";
"Казино";
"Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра";
"Артист";
"Аладдин";
"Добро пожаловать, или Посторонним вход воспрещен";
"Новые времена";
"Город Бога";
"Могила светлячков";
"Любовь и голуби";
"Невидимая сторона";
"Семь жизней";
"Душа";
"Как украсть миллион";
"Легенда о пианисте";
"12 стульев";
"Привидение";
"Танцующий с волками";
"Меня зовут Кхан";
"Афера";
"Жизнь Дэвида Гейла";
"Рэй";
"Назад в будущее 3";
"Терминал";
"Умница Уилл Хантинг";
"Шерлок Холмс и доктор Ватсон: Сокровища Агры";
"Пираты Карибского моря: Сундук мертвеца";
"Славные парни";
"Самый быстрый Indian";
"Ледниковый период";
"Головоломка";
"Король говорит!";
"Лицо со шрамом";
"Нюрнбергский процесс";
"Они сражались за Родину";
"Блеф";
"Золотой телёнок";
"Шерлок Холмс";
"Планета Ка-Пэкс";
"Перед классом";
"Корпорация монстров";
"Амели";
"Семь самураев";
"В случае убийства набирайте «М»";
"Вечное сияние чистого разума";
"Бешеные псы";
"Заплати другому";
"Вам и не снилось...";
"Остров сокровищ";
"На несколько долларов больше";
"Ромео и Джульетта";
"Шерлок Холмс и доктор Ватсон: Король шантажа";
"Белый плен";
"Тот самый Мюнхгаузен";
"Звёздные войны: Эпизод 3 – Месть Ситхов";
"Отец солдата";
"Красота по-американски";
"Андрей Рублев";
"Мой сосед Тоторо";
"Твоё имя";
"Тренер Картер";
"Исчезнувшая";
"Индиана Джонс и последний крестовый поход";
"Человек-слон";
"Писатели свободы";
"Принцесса Мононоке";
"Схватка";
"Психо";
"Военный ныряльщик";
"Знахарь";
"Октябрьское небо";
"Звёздные войны: Эпизод 6 – Возвращение Джедая";
"Новый кинотеатр «Парадизо»";
"Гарри Поттер и узник Азкабана";
"Шрэк";
"Ип Ман";
"Последний самурай";
"Иллюзионист";
"Берегись автомобиля";
"Брат 2";
"Гарри Поттер и философский камень";
"Ирония судьбы, или С легким паром!";
"Звездочки на земле";
"Трасса 60";
"Загадочная история Бенджамина Баттона";
"Цирк";
"Апокалипсис сегодня";
"Ганди";
"Легенда №17";
"Хоббит: Пустошь Смауга";
"Пока не сыграл в ящик";
"Хулиганы";
"Жестокий романс";
"Гарри Поттер и Дары Смерти: Часть II";
"Апокалипсис";
"Рататуй";
"Дурак";
"Я – Сэм";
"Тэмпл Грандин";
"Подмена";
"Ford против Ferrari";
"Крепкий орешек";
"Аватар";
"Песнь моря";
"Золотая лихорадка";
"Медведь";
"Крупная рыба";
"Ураган";
"Джокер";
"Убить пересмешника";
"Знакомьтесь, Джо Блэк";
"Вверх";
"Столкновение";
"Три идиота";
"Рапунцель: Запутанная история";
"Завтра была война";
"Мулан";
"Билли Эллиот";
"Старший сын";
"Реквием по мечте";
"Русалочка";
"История игрушек: Большой побег";
"Догвилль";
"Жизнь Пи";
"Иди и смотри";
"Мужики!..";
"Леди и бродяга";
"Мандарины";
"Поющие под дождем";
"Пираты Карибского моря: На краю света";
"Гаттака";
"Крамер против Крамера";
"Воин";